"股票代號","股票名稱","年度","中文簡稱","英文簡稱","公司名稱","英文名稱","地址","電話","傳真機號碼","註冊地國名","訴訟代理人","訴訟代理人電話","訴訟代理人地址","實收資本額(百萬)","成立日期","上市日期","上櫃日期","興櫃日期","公發日期","存續年度","董事長","總經理","發言人","發言人職稱","上市上櫃","網址","電子信箱","股票過戶機構","股務代理電話","產業代號","產業名稱","英文產業名稱","產業指數代號","產業指數名稱","指數彙編分類代號","指數彙編分類","經營項目","國際證券編碼","統一編號","交易所公告股本(千)","交易所普通股股本(千)","交易所特別股股本(千)","交易所普通股股數(千)","交易所特別股股數(千)","普通股每股面額(元)","每股幣別","公告採用匯率","簽證會計師事務所","前年度內銷比重(%)","前年度外銷比重(%)","員工人數(人)"
"1240","茂生農經","2020","茂生農經","MORNSUN","茂生農經股份有限公司","MORN SUN FEED MILL CORP.","台北市和平西路一段三十號二樓","02-23671162","02-23640694","","","","","350","19670218","","20180808","20170721","20170324","2","吳清德","黃強","林信鴻","董事長特助","2","https://www.morn-sun.com.tw/","bedford@morn-sun.com.tw","元大證券股份有限公司股務代理部","02-2586-5859","33","農業科技","Agricultural Technology Industry","TWC38","OTC農業科技","C29020","傳產-其他","家禽(雞鴨鵝)家畜(豬)各項飼料及其原料之製造加工買賣、倉庫租金收入，豬隻合作飼養肉豬銷售","TW0001240000","18795706","350097","350097","","35009.7","","10","NTD","","勤業眾信聯合會計師事務所","99.96","0.04","88"
"1256","鮮活果汁-KY","2020","鮮活果汁-KY","Sunjuice","鮮活控股股份有限公司","Sunjuice Holdings Co. Limited","Genesis Close  PO Box 446  Cayman Islands  KY1-1106","512-57515501","512-57515503","KY開曼群島","黃薰毅","0919-223777","台北市大安區基隆路二段190號2樓之1","338","20100112","20160317","20120905","","20120726","8","黃國晃","王明智","吳明憲","董事","1","http://www.myfreshjuice.com","XH@sunjuice.com.cn","兆豐證券股份有限公司股務代理部","02-33930398","2","食品工業","Food","TWB12","食品類","C12010","傳產-食品","果汁、果粒、果粉類等產品之生產與銷售","KYG858681003","37759808","338421.6","338421.6","","33842.16","","10","NTD","","勤業眾信聯合會計師事務所","100","0","786"
"1258","其祥-KY","2020","其祥-KY","Kee Song","其祥生物科技控股有限公司","Kee Song Bio-Technology Holdings Limited","台北市中山區松江路51號8樓","(02)2518-4933","(02)2503-4933","KY開曼群島","陳英傑","(02)2518-4933","台北市中山區松江路51號8樓","368","20100511","","20111212","20110829","20110817","9","王其祥","王建山","王建山","總經理","2","http://keesongbiotech.com/","investor@keesong.com","中國信託商業銀行代理部","(02)6636-5566","2","食品工業","Food","TWC22","OTC食品工業","C12010","傳產-食品","雞隻飼養、雞隻加工處理及販賣、冷凍肉品及調理食品買賣","KYG522401010","53028230","368197.91","368197.91","","36819.791","","10","NTD","","安永聯合會計師事務所","39.52","60.48","757"
"1259","安心","2020","安心","AN-SHIN","安心食品服務股份有限公司","AN-SHIN FOOD SERVICES CO.LTD.","台北市中山區松江路156-1號8樓","(02)2567-5001","(02)2567-1692","","","","","324","19901123","","20111215","20110126","20101228","9","林建元","高順興","施啟寅","協理","2","http://www.mos.com.tw","ir@mos.com.tw","群益金鼎證券(股)公司股務代理部","(02)27023999","16","觀光事業","Tourism","TWC21","OTC觀光類","C27010","傳產-觀光","連鎖速食餐飲","TW0001259000","23928945","323895","323895","","32389.5","","10","NTD","","資誠聯合會計師事務所","100","0","5694"
"1264","德麥","2020","德麥","TEHMAG","德麥食品股份有限公司","TEHMAG FOODS CORPORATION","新北市五股區五權五路31號","(02)2298-1347","(02)2298-2263","","","","","337","19890629","","20150409","20140225","20131121","5","林雪嬌","吳文欽","邱俊榮","財務經理","2","http://www.tehmag.com.tw","ir@tehmag.com.tw","富邦綜合證券(股)公司股務代理部","(02)2361-1300","2","食品工業","Food","TWC22","OTC食品工業","C12010","傳產-食品","專業進口烘焙原料銷售、各式烘焙食品、乳製品、各式包裝材料及器具之銷售、烘焙原料之預拌粉加工製造","TW0001264000","23420497","336959.7","336959.7","","33695.97","","10","NTD","","勤業眾信聯合會計師事務所","98.53","1.47","697"
"1268","漢來美食","2020","漢來美食","Hi-Lai Foods","漢來美食股份有限公司","Hi-Lai Foods Co. Ltd","高雄市前金區成功一路266號21樓之1","(07)213-5788","(07)215-5956","","","","","377","20030109","","20170927","20151224","20150821","3","賴宗成","林淑婷","林淑婷","總經理","2","http://www.hilai-foods.com","stock@hilai-foods.com","福邦證券股份有限公司","(02)2371-1658","16","觀光事業","Tourism","TWC21","OTC觀光類","C27010","傳產-觀光","F501060餐館業、ZZ99999除許可業務外，得經營法令非禁止或限制之業務、","TW0001268001","80352343","377237.3","377237.3","","37723.73","","10","NTD","","勤業眾信聯合會計師事務所","100","0","1544"
"1301","台塑","2020","台塑","FPC","台灣塑膠工業股份有限公司","Formosa Plastics Corporation","高雄市仁武區水管路100號","(02)2712-2211","(02)2717-8108","","","","","63657","19541105","19640727","","","","56","林健男","林健男","林勝冠","資深副總經理","1","http://www.fpc.com.tw","formosa@fpc.com.tw","本公司股務組","(02)2718-9898","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","聚氯乙烯(PVC)、氯乙烯、液(石咸)、聚丙烯、高密度聚乙烯、聚乙烯醋酸乙烯酯、低密度聚乙烯、線性低密度聚乙烯、丙烯酸酯、高吸水性樹脂、碳素纖維、丙烯睛、甲基丙烯酸甲酯及環氧氯丙烷等","TW0001301000","75708007","63657407.81","63657407.81","","6365740.781","","10","NTD","","安侯建業聯合會計師事務所","32.52","67.48","7349"
"1303","南亞","2020","南亞","NPC","南亞塑膠工業股份有限公司","NAN YA PLASTICS CORPORATION","台北市敦化北路201號","(02)27122211","(02)27178533","","","","","79308","19580822","19671105","","","","53","吳嘉昭","鄒明仁","吳嘉昭","董事長","1","http://www.npc.com.tw","nanya@npc.com.tw","本公司股務組","(02)27189898","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","各種塑膠加工品、塑膠原料、電子材料、聚酯纖維之製銷、及染整加工、配電盤","TW0001303006","75370905","79308215.89","79308215.89","","7930821.589","","10","NTD","","安侯建業聯合會計師事務所","28.76","71.24","31609"
"1304","台聚","2020","台聚","USI","台灣聚合化學品股份有限公司","USI CORPORATION","台北市內湖區基湖路37號12樓","02-87516888","02-26599524","","","","","11888","19650526","19720520","","","19720128","48","吳亦圭","王克舜","吳銘宗","業務處協理","1","http://www.usife.com.tw","mtwu@csl.usife.com.tw","本公司股務部","02-26503773","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","塑膠原料之製造、加工及銷售、電子材料、其他","TW0001304004","11917107","11887635","11887635","","1188763.5","","10","NTD","","勤業眾信聯合會計師事務所","33.49","66.51","5045"
"1305","華夏","2020","華夏","CGPC","華夏海灣塑膠股份有限公司","CHINA GENERAL PLASTICS CORPORATION","台北市內湖區基湖路37號12樓","(02)8751-6888","(02)2659-9553","","","","","5534","19640429","19730305","","","","47","吳亦圭","林漢福","胡吉宏","副總經理","1","https://www.cgpc.com.tw","cgpcstkqa@cgpc.com.tw","本公司股務部","(02)2650-3773","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","從事生產與銷售塑膠布，塑膠皮，塑膠管，塑膠粒、塑膠粉，鹼氯品及其它有關產品為主要業務","TW0001305001","11686106","5533814.23","5533814.23","","553381.423","","10","NTD","","勤業眾信聯合會計師事務所","32.71","67.29","972"
"1307","三芳","2020","三芳","SAN FANG","三芳化學工業股份有限公司","SAN FANG CHEMICAL INDUSTR CO.LTD.","高雄市三民區通化街120號","(07)3712111","(07)3711940","","","","","3978","19730616","19851123","","","","35","林孟經","林至逸","林信宏","副總經理","1","http://www.sanfang.com.tw","service@sanfang.com.tw","中國信託代理部","(02)6636-5566","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","聚氨基甲酸加工品之製銷事項不織布起毛布加工品製銷染整事項、聚氯乙烯加工之製銷事項塑膠加工品生產技術研究改良事項、各種皮革加工之製銷事項有關事業之投資經營事項","TW0001307007","83387850","3978181.26","3978181.26","","397818.126","","10","NTD","","勤業眾信會計師事務所","12.04","87.96","3032"
"1308","亞聚","2020","亞聚","APC","亞洲聚合股份有限公司","ASIA POLYMER CORPORATION","高雄市林園區工業一路3號","(02)8751-6888","(02)2659-9553","","","","","5821","19770125","19860620","","","","34","吳亦圭","吳培基","黃克名","業務部經理","1","http://www.apc.com.tw","kmhuang@tpe.usife.com.tw","亞洲聚合股份有限公司股務部","(02)2650-3773","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","低密度聚乙烯及乙烯醋酸乙烯酯共聚合樹脂之生產及銷售、高密度聚乙烯及線型低密度聚乙烯之銷售、分解性塑膠原料之製造及銷售","TW0001308005","20747385","5821018.82","5821018.82","","582101.882","","10","NTD","","勤業眾信聯合會計師事務所","26.32","73.68","236"
"1309","台達化","2020","台達化","TTC","台達化學工業股份有限公司","TAITA CHEMICAL COMPANY LIMITED","台北市內湖區基湖路37號12樓","(02)8751-6888","(02)2659-9504","","","","","3442","19600406","19860627","","","","34","吳亦圭","吳培基","顏太明","執行副總經理","1","http://www.ttc.com.tw","tmyen@ttc.com.tw","台達化學工業股份有限公司股務部","(02)2650-3773","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","聚苯乙烯及加工品之製銷，丙烯(月青)、丁二烯、苯乙烯共聚體樹脂、ABS之製銷，﹝丙烯(月青)、苯乙烯共聚合樹脂﹞SAN之製銷、玻璃棉及其有關產品之製銷，塑膠原料及加工品之製銷","TW0001309003","11893409","3442310.38","3442310.38","","344231.038","","10","NTD","","勤業眾信聯合會計師事務所","43.51","56.49","535"
"1310","台苯","2020","台苯","T.S.M.C.","台灣苯乙烯工業股份有限公司","Taiwan Styrene Monomer Corporation","台北市羅斯福路一段六號八樓之一","02-23966007","23960755","","","","","5279","19791116","19870806","","","","33","林文淵","陳柏元","仲崇國","副總經理","1","http://www.smct.com.tw","acc@mail.smct.com.tw","元大證券(股)公司股務代理部","02-2586-5859","3","塑膠工業","Plastic","TWB13","塑膠類","C13010","傳產-塑膠","苯乙烯單體、對二乙苯、甲苯乙苯","TW0001310001","20844865","5278697.64","5278697.64","","527869.764","","10","NTD","","安侯建業聯合會計師事務所","95.56","4.44","191"
